"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-01",,,"0.02","0.0",,,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-02",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-03",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-04",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-05",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-06",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-07",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-08",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-09",,,"0.08","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-10",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-11",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-12",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-13",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-14",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-15",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-16",,,"0.02","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-17",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-18",,,"0.12","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-19",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-20",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-21",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-22",,,"0.02","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-23",,,"0.33","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-24",,,"0.63","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-25",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-26",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-27",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-28",,,"0.02","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-29",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-30",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-07-31",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-01",,,"0.00","0.0",,,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-02",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-03",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-04",,,"0.91","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-05",,,"0.18","0.0","0.0",,,,,,,"    1",,"    1",,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-06",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-07",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-08",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-09",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-10",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-11",,,"0.33","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-12",,,"0.18","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-13",,,"1.21","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-14",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-15",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-16",,,"0.37","0.0","0.0",,,,,,,"    1",,,,,,"    1",,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-17",,,"0.20","0.0","0.0",,,,,,,"    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-18",,,"1.21","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-19",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-20",,,"0.77","0.0","0.0",,,,,,"    1",,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-21",,,"0.09","0.0","0.0",,,,,,"    1",,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-22",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-23",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-24",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-25",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-26",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-27",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-28",,,"0.21","0.0","0.0",,,,,,"    1","    1",,,,,,,,,
"USC00369735","WILLIAMSPORT 2, PA US","1997-08-29",,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,
